ID	en	ro	Noun
1	as	ca	0
2	I	eu	0
3	his	lui	0
4	that	că	0
5	he	el	0
6	was	era	0
7	for	pentru	0
8	on	pe	0
9	are	sunt	0
10	with	cu	0
11	they	ei	0
12	be	fie	0
13	at	la	0
14	one	una	0
15	have	au	0
16	this	acest	0
18	by	de	0
19	hot	fierbinte	0
20	word	cuvânt	1
21	but	dar	0
22	what	ce	0
23	some	unele	0
24	is	este	0
25	it	ea	0
26	you	tu	0
27	or	sau	0
28	had	avea	0
30	of	de	0
31	to	la	0
32	and	și	0
33	a	o	0
34	in	în	0
35	we	noi	0
36	can	poate	0
37	out	afară	0
38	other	alte	0
39	were	erau	0
40	which	care	0
41	do	face	0
42	their	lor	0
43	time	timp	1
44	if	dacă	0
45	will	va	0
46	how	cum	0
47	said	spunea	0
48	an	o	0
49	each	fiecare	0
50	tell	spune	0
51	does	nu	0
52	set	set	0
53	three	trei	0
54	want	vrea	0
55	air	aer	1
56	well	bine	0
58	play	juca	1
59	small	mic	0
60	end	capăt	1
61	put	pune	0
62	home	acasă	0
63	read	citeste	0
64	hand	mână	1
65	port	portul	1
66	large	mare	0
67	spell	scrie	0
68	add	adăuga	0
69	even	chiar	0
70	land	teren	1
71	here	aici	0
72	must	must	0
73	big	mare	0
74	high	mare	0
76	follow	urma	0
77	act	act	1
79	ask	cere	0
80	men	bărbați	1
81	change	schimbare	1
82	went	mergea	0
83	light	lumina	1
84	kind	fel	1
86	need	nevoie	1
87	house	casă	1
88	picture	imagine	1
89	try	încercați	0
90	us	ne	0
92	animal	animal	1
93	point	punct	1
94	mother	mamă	1
95	world	lume	1
96	near	aproape	0
97	build	construi	0
98	self	auto	0
99	earth	pământ	1
100	father	tatăl	1
101	any	orice	0
102	new	nou	0
103	work	muncă	1
104	part	parte	1
105	take	ia	0
106	get	obține	0
107	place	loc	1
108	made	făcea	0
109	live	trăi	0
110	where	unde	0
111	after	după	0
112	back	înapoi	0
113	little	mic	0
114	only	numai	0
115	round	rotund	0
116	man	om	1
117	year	an	1
118	came	venea	0
119	show	spectacol	1
120	every	fiecare	0
121	good	bun	0
122	me	mi-	0
123	give	da	0
124	our	nostru	0
125	under	sub	0
126	name	nume	1
127	very	foarte	0
128	through	prin	0
129	just	doar	0
130	form	formă	1
